,ONTOLOGY,ONT_DESCRIPTION,FDR,EA_VALUE,sample,GROUP,GROUP_1,GROUP_2,KEGG_up_DOWN,interaction_entry,interaction_name,reaction_entry,reaction_name
15,ec00603,Glycosphingolipid biosynthesis - globo and isoglobo series,0.0,3.2265242980712,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
16,ec00531,Glycosaminoglycan degradation,3.10196313080269e-14,2.41878343532888,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
17,ec00604,Glycosphingolipid biosynthesis - ganglio series,7.04991620636974e-14,2.43028092046414,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
18,ec00140,Steroid hormone biosynthesis,2.86025171801287e-13,6.13392977018953,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
19,ec00052,Galactose metabolism,1.3581663571571299e-11,1.716108115059,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
20,ec00561,Glycerolipid metabolism,5.15162054882791e-06,1.85908190942697,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
21,ec00940,Phenylpropanoid biosynthesis,9.5508568098035e-06,2.81007380924922,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
22,ec00513,Various types of N-glycan biosynthesis,0.0001949073966669,2.26618855584615,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
23,ec00520,Amino sugar and nucleotide sugar metabolism,0.0006397805133289,1.29478343172627,FECAL,fecal.Control.control_vs_fecal.CU.3.meses,control,CU.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
24,ec00511,Other glycan degradation,0.0,3.1180031196015,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,UP,2,Genetic Information Processing,2.2,Translation
25,ec00531,Glycosaminoglycan degradation,0.0,2.99013724652834,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,UP,2,Genetic Information Processing,2.2,Translation
26,ec00600,Sphingolipid metabolism,0.0,3.95173073020688,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,UP,2,Genetic Information Processing,2.2,Translation
27,ec00140,Steroid hormone biosynthesis,0.0,8.95900657264138,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,UP,2,Genetic Information Processing,2.2,Translation
28,ec00604,Glycosphingolipid biosynthesis - ganglio series,0.0,2.99170071698404,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,UP,2,Genetic Information Processing,2.2,Translation
29,ec00603,Glycosphingolipid biosynthesis - globo and isoglobo series,1.18793863634892e-14,3.36188651129899,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,UP,2,Genetic Information Processing,2.2,Translation
30,ec00052,Galactose metabolism,1.5918377727075498e-11,1.84431822447382,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,UP,2,Genetic Information Processing,2.2,Translation
31,ec00940,Phenylpropanoid biosynthesis,1.19988441363295e-06,3.39665960950365,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,UP,2,Genetic Information Processing,2.2,Translation
32,ec00513,Various types of N-glycan biosynthesis,1.20247897225953e-06,2.97892526236711,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,UP,2,Genetic Information Processing,2.2,Translation
33,ec00511,Other glycan degradation,0.0,3.1180031196015,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
34,ec00531,Glycosaminoglycan degradation,0.0,2.99013724652834,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
35,ec00600,Sphingolipid metabolism,0.0,3.95173073020688,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
36,ec00140,Steroid hormone biosynthesis,0.0,8.95900657264138,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
37,ec00604,Glycosphingolipid biosynthesis - ganglio series,0.0,2.99170071698404,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
38,ec00603,Glycosphingolipid biosynthesis - globo and isoglobo series,1.18793863634892e-14,3.36188651129899,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
39,ec00052,Galactose metabolism,1.5918377727075498e-11,1.84431822447382,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
40,ec00940,Phenylpropanoid biosynthesis,1.19988441363295e-06,3.39665960950365,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
41,ec00513,Various types of N-glycan biosynthesis,1.20247897225953e-06,2.97892526236711,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
42,ec00520,Amino sugar and nucleotide sugar metabolism,0.0014587731013924,1.32666267388996,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
43,ec00600,Sphingolipid metabolism,0.0014173189439576,2.1566200895128,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,2,Genetic Information Processing,2.2,Translation
44,ec00531,Glycosaminoglycan degradation,0.0029507793797954,2.03902223184572,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,2,Genetic Information Processing,2.2,Translation
45,ec00140,Steroid hormone biosynthesis,0.0029507793797954,4.73996585985031,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,2,Genetic Information Processing,2.2,Translation
46,ec00910,Nitrogen metabolism,0.0037289379198632,2.2260120042755,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,2,Genetic Information Processing,2.2,Translation
47,ec00511,Other glycan degradation,0.0044911460977143,1.91591673055375,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,2,Genetic Information Processing,2.2,Translation
48,ec00604,Glycosphingolipid biosynthesis - ganglio series,0.0069381325259822,1.93482219867419,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,2,Genetic Information Processing,2.2,Translation
49,ec01051,Biosynthesis of ansamycins,0.0205846937189667,3.02454964390448,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,2,Genetic Information Processing,2.2,Translation
50,ec00130,Ubiquinone and other terpenoid-quinone biosynthesis,0.0205846937189667,2.2280943354301,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,2,Genetic Information Processing,2.2,Translation
51,ec00633,Nitrotoluene degradation,0.0205846937189667,3.36824846707545,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,2,Genetic Information Processing,2.2,Translation
52,ec00603,Glycosphingolipid biosynthesis - globo and isoglobo series,0.0315696275091917,1.96710214280092,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,2,Genetic Information Processing,2.2,Translation
53,ec00970,Aminoacyl-tRNA biosynthesis,0.0462281817086957,1.32563619727558,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,2,Genetic Information Processing,2.2,Translation
54,ec00513,Various types of N-glycan biosynthesis,0.0571461635219146,2.16709357240054,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,2,Genetic Information Processing,2.2,Translation
55,ec00630,Glyoxylate and dicarboxylate metabolism,0.0778221403605651,1.52178598435446,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,2,Genetic Information Processing,2.2,Translation
56,ec00073,"Cutin, suberine and wax biosynthesis",0.0840818282164186,6.61620234604106,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,2,Genetic Information Processing,2.2,Translation
57,ec00940,Phenylpropanoid biosynthesis,0.101605521917705,2.17147153921347,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,2,Genetic Information Processing,2.2,Translation
58,ec00511,Other glycan degradation,0.0,2.61370052503129,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,2,Genetic Information Processing,2.2,Translation
59,ec00531,Glycosaminoglycan degradation,0.0,2.71871723505365,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,2,Genetic Information Processing,2.2,Translation
60,ec00901,Indole alkaloid biosynthesis,0.0,53.3467980295567,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,2,Genetic Information Processing,2.2,Translation
61,ec00600,Sphingolipid metabolism,0.0,2.7118473193139,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,2,Genetic Information Processing,2.2,Translation
62,ec00604,Glycosphingolipid biosynthesis - ganglio series,0.0,2.68975452249865,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,2,Genetic Information Processing,2.2,Translation
63,ec00603,Glycosphingolipid biosynthesis - globo and isoglobo series,9.547918011776351e-15,2.82704986116715,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,2,Genetic Information Processing,2.2,Translation
64,ec00513,Various types of N-glycan biosynthesis,1.10911889196684e-09,2.97841924482636,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,2,Genetic Information Processing,2.2,Translation
65,ec00052,Galactose metabolism,1.01700217997047e-07,1.52788980566544,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,2,Genetic Information Processing,2.2,Translation
66,ec00520,Amino sugar and nucleotide sugar metabolism,7.25291392130364e-07,1.38775547792022,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,2,Genetic Information Processing,2.2,Translation
67,ec00140,Steroid hormone biosynthesis,1.31019552329414e-05,3.58299389750754,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,2,Genetic Information Processing,2.2,Translation
68,ec00511,Other glycan degradation,0.0,2.61370052503129,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
69,ec00531,Glycosaminoglycan degradation,0.0,2.71871723505365,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
70,ec00901,Indole alkaloid biosynthesis,0.0,53.3467980295567,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
71,ec00600,Sphingolipid metabolism,0.0,2.7118473193139,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
72,ec00604,Glycosphingolipid biosynthesis - ganglio series,0.0,2.68975452249865,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
73,ec00603,Glycosphingolipid biosynthesis - globo and isoglobo series,9.547918011776351e-15,2.82704986116715,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
74,ec00513,Various types of N-glycan biosynthesis,1.10911889196684e-09,2.97841924482636,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
75,ec00052,Galactose metabolism,1.01700217997047e-07,1.52788980566544,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
76,ec00520,Amino sugar and nucleotide sugar metabolism,7.25291392130364e-07,1.38775547792022,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
77,ec00140,Steroid hormone biosynthesis,1.31019552329414e-05,3.58299389750754,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
78,ec00250,"Alanine, aspartate and glutamate metabolism",0.0660598785991446,1.22186528420991,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
79,ec00280,"Valine, leucine and isoleucine degradation",3.86115879269511e-06,1.77839566461249,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,UP,2,Genetic Information Processing,2.2,Translation
80,ec00480,Glutathione metabolism,3.86115879269511e-06,1.61408441858544,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,UP,2,Genetic Information Processing,2.2,Translation
81,ec00643,Styrene degradation,0.0007941308725764,3.45149158592555,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,UP,2,Genetic Information Processing,2.2,Translation
82,ec00361,Chlorocyclohexane and chlorobenzene degradation,0.0007941308725764,3.68159102498725,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,UP,2,Genetic Information Processing,2.2,Translation
83,ec00280,"Valine, leucine and isoleucine degradation",3.86115879269511e-06,1.77839566461249,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
84,ec00480,Glutathione metabolism,3.86115879269511e-06,1.61408441858544,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
85,ec00643,Styrene degradation,0.0007941308725764,3.45149158592555,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
86,ec00361,Chlorocyclohexane and chlorobenzene degradation,0.0007941308725764,3.68159102498725,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
87,ec00130,Ubiquinone and other terpenoid-quinone biosynthesis,0.0010355469883616,1.65309980541991,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
88,ec00620,Pyruvate metabolism,0.0010355469883616,1.2647747690707,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
89,ec00785,Lipoic acid metabolism,0.0014181543671457,2.09619384276107,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
90,ec00903,Limonene and pinene degradation,0.0018548379624586,2.67752074544527,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
91,ec00020,Citrate cycle (TCA cycle),0.00244813612486,1.37208756420461,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
92,ec01120,Microbial metabolism in diverse environments,0.00244813612486,1.09603216850934,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
93,ec00260,"Glycine, serine and threonine metabolism",0.0047661422098529,1.20512700242155,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
94,ec00071,Fatty acid degradation,0.0048761691492684,1.55152764624463,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
95,ec00515,Mannose type O-glycan biosynthesis,0.0067050234840526,2.4466269469852,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
96,ec00514,Other types of O-glycan biosynthesis,0.0096130329863792,2.88962086263534,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
97,ec00072,Synthesis and degradation of ketone bodies,0.0096130329863792,2.1532241086508,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
98,ec00073,"Cutin, suberine and wax biosynthesis",0.0120645214381701,4.60198878123406,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
99,ec00625,Chloroalkane and chloroalkene degradation,0.0150258218449117,1.73738003426365,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
100,ec00622,Xylene degradation,0.0201472045750908,2.25403532142077,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
101,ec00930,Caprolactam degradation,0.0206675449227674,1.85938940655922,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,2,Genetic Information Processing,2.2,Translation
102,ec00480,Glutathione metabolism,2.3391760517022e-05,1.77491615773536,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,UP,2,Genetic Information Processing,2.2,Translation
103,ec00620,Pyruvate metabolism,0.0002443954144699,1.39612908648897,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,UP,2,Genetic Information Processing,2.2,Translation
104,ec00280,"Valine, leucine and isoleucine degradation",0.0004346172901802,1.79777948451297,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,UP,2,Genetic Information Processing,2.2,Translation
105,ec00480,Glutathione metabolism,2.3391760517022e-05,1.77491615773536,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
106,ec00620,Pyruvate metabolism,0.0002443954144699,1.39612908648897,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
107,ec00280,"Valine, leucine and isoleucine degradation",0.0004346172901802,1.79777948451297,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
108,ec00404,Staurosporine biosynthesis,0.016687885609208,7.21885137837558,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
109,ec00621,Dioxin degradation,0.016687885609208,3.11723127702582,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
110,ec00010,Glycolysis / Gluconeogenesis,0.0249461377291079,1.2090108812564,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
111,ec00515,Mannose type O-glycan biosynthesis,0.0249461377291079,2.60426916814815,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
112,ec00970,Aminoacyl-tRNA biosynthesis,0.0249461377291079,1.1864416769529,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
113,ec00071,Fatty acid degradation,0.0249461377291079,1.61106429174541,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
114,ec00405,Phenazine biosynthesis,0.0249461377291079,2.09082585654171,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
115,ec00020,Citrate cycle (TCA cycle),0.0249461377291079,1.37369513902833,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
116,ec00622,Xylene degradation,0.0249461377291079,2.79914645283951,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
117,ec00626,Naphthalene degradation,0.0249461377291079,2.21773170455071,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
118,ec00625,Chloroalkane and chloroalkene degradation,0.0425482100949782,1.84932372389846,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
119,ec00230,Purine metabolism,0.0483298601341129,1.11498758582224,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
120,ec00830,Retinol metabolism,0.0483298601341129,2.01475287057488,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
121,ec00072,Synthesis and degradation of ketone bodies,0.0579899425124459,2.09721981940575,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
122,ec00520,Amino sugar and nucleotide sugar metabolism,0.0579899425124459,1.15315974046257,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
123,ec00982,Drug metabolism - cytochrome P450,0.0579899425124459,1.81516196776359,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,Genetic Information Processing,2.2,Translation
124,ec00480,Glutathione metabolism,2.03938208209742e-07,1.61996626149239,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,2,Genetic Information Processing,2.2,Translation
125,ec00280,"Valine, leucine and isoleucine degradation",1.54217673587476e-05,1.6510251366943,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,2,Genetic Information Processing,2.2,Translation
126,ec00643,Styrene degradation,8.89944246253771e-05,3.46903429718532,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,2,Genetic Information Processing,2.2,Translation
127,ec00130,Ubiquinone and other terpenoid-quinone biosynthesis,8.89944246253771e-05,1.68746289479548,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,2,Genetic Information Processing,2.2,Translation
128,ec00361,Chlorocyclohexane and chlorobenzene degradation,8.89944246253771e-05,3.75812048861743,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,2,Genetic Information Processing,2.2,Translation
129,ec00903,Limonene and pinene degradation,9.8985734911757e-05,2.86983746403513,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,2,Genetic Information Processing,2.2,Translation
130,ec00625,Chloroalkane and chloroalkene degradation,0.0002044099551969,2.02685149947907,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,2,Genetic Information Processing,2.2,Translation
131,ec00830,Retinol metabolism,0.0004162343861205,2.21665411870994,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,2,Genetic Information Processing,2.2,Translation
132,ec00626,Naphthalene degradation,0.0004167391631538,2.27169969834338,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,2,Genetic Information Processing,2.2,Translation
133,ec00071,Fatty acid degradation,0.0006394581959653,1.58914809232966,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,2,Genetic Information Processing,2.2,Translation
134,ec00592,alpha-Linolenic acid metabolism,0.0006699022790778,1.88692242106315,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,2,Genetic Information Processing,2.2,Translation
135,ec00515,Mannose type O-glycan biosynthesis,0.0009053486194642,2.56884185297901,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,2,Genetic Information Processing,2.2,Translation
136,ec00480,Glutathione metabolism,2.03938208209742e-07,1.61996626149239,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,DOWN,2,Genetic Information Processing,2.2,Translation
